period,number,color,date_folder
20250420100052101,0,red / violet,20-04-2025
20250420100052100,4,red,20-04-2025
20250420100052099,6,red,20-04-2025
20250420100052098,2,red,20-04-2025
20250420100052097,9,green,20-04-2025
20250420100052096,1,green,20-04-2025
20250420100052095,1,green,20-04-2025
20250420100052094,7,green,20-04-2025
20250420100052093,8,red,20-04-2025
20250420100052092,3,green,20-04-2025
20250420100052091,8,red,20-04-2025
20250420100052090,8,red,20-04-2025
20250420100052089,3,green,20-04-2025
20250420100052088,8,red,20-04-2025
20250420100052087,9,green,20-04-2025
20250420100052086,0,red / violet,20-04-2025
20250420100052085,7,green,20-04-2025
20250420100052084,4,red,20-04-2025
20250420100052083,6,red,20-04-2025
20250420100052082,6,red,20-04-2025
20250420100052081,7,green,20-04-2025
20250420100052080,3,green,20-04-2025
20250420100052079,1,green,20-04-2025
20250420100052078,2,red,20-04-2025
20250420100052077,5,green / violet,20-04-2025
20250420100052076,8,red,20-04-2025
20250420100052075,7,green,20-04-2025
20250420100052074,4,red,20-04-2025
20250420100052073,3,green,20-04-2025
20250420100052072,3,green,20-04-2025
20250420100052071,7,green,20-04-2025
20250420100052070,3,green,20-04-2025
20250420100052069,6,red,20-04-2025
20250420100052068,0,red / violet,20-04-2025
20250420100052067,2,red,20-04-2025
20250420100052066,7,green,20-04-2025
20250420100052065,6,red,20-04-2025
20250420100052064,6,red,20-04-2025
20250420100052063,5,green / violet,20-04-2025
20250420100052062,2,red,20-04-2025
20250420100052061,8,red,20-04-2025
20250420100052060,8,red,20-04-2025
20250420100052059,2,red,20-04-2025
20250420100052058,9,green,20-04-2025
20250420100052057,1,green,20-04-2025
20250420100052056,8,red,20-04-2025
20250420100052055,3,green,20-04-2025
20250420100052054,2,red,20-04-2025
20250420100052053,7,green,20-04-2025
20250420100052052,1,green,20-04-2025
20250420100052051,3,green,20-04-2025
20250420100052050,1,green,20-04-2025
20250420100052049,9,green,20-04-2025
20250420100052048,6,red,20-04-2025
20250420100052047,8,red,20-04-2025
20250420100052046,1,green,20-04-2025
20250420100052045,8,red,20-04-2025
20250420100052044,2,red,20-04-2025
20250420100052043,5,green / violet,20-04-2025
20250420100052042,2,red,20-04-2025
20250420100052041,6,red,20-04-2025
20250420100052040,6,red,20-04-2025
